playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Blue,10.2857,435.332,0,0,501,0,-229
Palafox,8.8902,393.713,0,0,77,0,-1066
Bjergsen,8.3324,312.0279,0,0,-77,0,1066
Aria,8.3235,312.4118,0,0,-15,0,58
FATE,8.7647,551.6471,0,0,15,1,-58
Aria,8.1769,242.6539,0,1,-325,0,-167
FATE,10.3288,394.8237,0,0,325,0,167
Faker,8.8089,395.9668,1,0,-238,0,516
ShowMaker,7.9446,318.6482,0,0,238,0,-516
ShowMaker,7.4568,288.1988,1,1,952,0,200
Faker,9.0562,451.4481,0,1,-952,0,-200
Lava,9.9569,819.8922,0,0,25,0,-139
Zeka,11.9935,226.4224,0,0,-25,0,139
Lava,11.0433,881.3681,1,1,-79,0,398
