playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
PowerOfEvil,8.3441,374.7083,0,0,-191,0,-832
Perkz,10.3684,339.1386,0,0,-297,0,-146
Abbedagge,10.8339,580.5517,0,0,618,0,946
Clozer,8.4184,393.7883,0,2,-906,0,-1412
Zeka,9.227,238.0228,3,0,316,1,-30
Larssen,10.2365,523.0236,1,1,-94,0,-111
Dajor,7.973,452.4988,1,1,789,0,-679
Faker,9.5908,574.1735,1,0,566,0,661
Humanoid,8.88,453.2914,2,3,-425,0,-248
jojopyun,8.6838,452.0808,1,2,-879,0,200
caPs,11.2088,681.1888,0,0,942,0,349
Lava,9.0146,493.6496,0,0,498,0,423
caPs,8.6076,287.9114,1,1,-122,1,133
ShowMaker,6.4223,521.2903,1,0,-1428,0,962
jojopyun,8.705,454.1107,1,1,376,0,363
Lava,10.3992,447.1639,0,0,627,0,142
Blue,8.9823,221.1687,0,1,-293,0,-1000
Chovy,9.8152,328.1314,0,0,1043,1,1441
Larssen,8.9835,641.3736,2,1,800,1,736
Clozer,9.8316,790.6236,0,0,435,0,206
VicLa,9.3023,541.3219,0,0,102,0,-136
Faker,9.6784,900.4046,0,1,519,0,-181
Chovy,10.3261,566.6304,0,0,-28,0,1362
ShowMaker,12.4976,453.4496,1,0,610,1,822
Jensen,7.6772,626.4567,2,0,391,0,429
Larssen,9.1019,816.7718,2,0,729,0,476
Humanoid,7.8919,772.0205,0,0,-532,0,-561
FATE,8.9032,594.0323,2,0,821,0,1374
Bdd,9.2719,614.948,0,1,-577,0,-1157
Clozer,8.7045,515.1375,0,0,-163,0,-188
FATE,9.0422,421.7431,1,0,620,0,837
Larssen,8.5683,895.7807,0,0,148,0,451
Chovy,8.7448,641.0166,0,0,792,0,525
Lava,8.9234000000000009,1227.4806,0,0,1037,1,965
PowerOfEvil,8.4533,662.1198,0,0,-148,0,446
Jensen,9.2988,679.1713,0,0,-65,0,47
NUCLEARINT,6.3197,434.438,0,0,-285,0,-939
ShowMaker,7.8074,583.2921,0,1,-489,0,-681
Faker,7.6306,440.2639,0,1,-1073,0,-1198
jojopyun,7.2266,390.1953,0,2,-766,0,-1535
Karis,7.6454,555.7341,1,0,385,0,-233
Jensen,7.9545,650.767,0,0,50,1,5
